name,agency_type,jurisdiction_name,address,city,state,zip,latitude,longitude,phone,website_url,public_records_url,public_records_email,records_portal_type,system_role,source_url,verified_status,notes,geocode_source,geocode_confidence,geocode_notes
Columbus Utilities Public Records Office,public_records_office,Columbus,90 W Broad St,Columbus,OH,43215,39.961400,-83.003800,614-645-1313,https://www.columbus.gov,https://www.columbus.gov/Services/Columbus-Water-Power/About-Columbus-Water-Power/Utilities-Public-Records-Policy-and-Requests,DPUpublicrecords@columbus.gov,email,Public records routing for Columbus utilities records,https://www.columbus.gov/Services/Columbus-Water-Power/About-Columbus-Water-Power/Utilities-Public-Records-Policy-and-Requests,unverified,,official_address,medium,"Listed at DPU/90 W Broad St; records office is a function, not a separate public counter - verify walk-in location"
City of Columbus GIS / Open Data,gis_open_data,Columbus,90 W Broad St,Columbus,OH,43215,39.961400,-83.003800,,https://www.columbus.gov,,,unknown,Open data and map portal for GIS layers,https://www.columbus.gov,unverified,,jurisdiction_centroid,low,No dedicated public street address; placed at Columbus civic center. GIS/Open Data is primarily an online portal
City of Gahanna Public Records,city_government,Gahanna,200 S Hamilton Rd,Gahanna,OH,43230,40.019500,-82.873400,,https://www.gahanna.gov,https://www.gahanna.gov,,nextrequest,Records requests submitted through online portal,https://www.gahanna.gov,unverified,,official_address,high,"Gahanna City Hall, 200 S Hamilton Rd"
Franklin County Auditor,county_auditor,Franklin County,373 S High St,Columbus,OH,43215,39.961700,-83.001900,,https://auditor.franklincountyohio.gov/Home,,,unknown,Property records parcel viewer valuation and GIS context,https://auditor.franklincountyohio.gov/Home,unverified,,official_address,high,"Franklin County complex, 373 S High St, Columbus"
Franklin County Treasurer,county_treasurer,Franklin County,373 S High St,Columbus,OH,43215,39.961700,-83.001900,,https://treasurer.franklincountyohio.gov/,,,unknown,Property tax collection and payment records,https://treasurer.franklincountyohio.gov/,unverified,Confirm exact office coordinates,official_address,high,"Franklin County complex, 373 S High St, Columbus"
Franklin County Recorder,county_recorder,Franklin County,373 S High St,Columbus,OH,43215,39.961700,-83.001900,,https://recorder.franklincountyohio.gov,,,unknown,Real-estate record search and recording,https://recorder.franklincountyohio.gov,unverified,,official_address,high,"Franklin County complex, 373 S High St, Columbus"
Franklin County Clerk of Courts,clerk_of_courts,Franklin County,373 S High St,Columbus,OH,43215,39.961700,-83.001900,,https://www.franklincountyohio.gov/Clerk-of-Courts,,,form,Public records page and request form for court records,https://www.franklincountyohio.gov/Clerk-of-Courts,unverified,,official_address,high,"Franklin County Courthouse complex, 373 S High St, Columbus"
Licking County Auditor,county_auditor,Licking County,20 S Second St,Newark,OH,43055,40.058200,-82.401900,,https://lickingcounty.gov/depts/auditor/default.htm,,,unknown,County fiscal officer property assessor transfers and GIS data,https://lickingcounty.gov/depts/auditor/default.htm,unverified,,official_address,high,"Licking County admin building, 20 S Second St, Newark"
Licking County Treasurer,county_treasurer,Licking County,20 S Second St,Newark,OH,43055,40.058200,-82.401900,,https://lickingcounty.gov/depts/treasurer/default.htm,,,unknown,Collector of local taxes and special assessments,https://lickingcounty.gov/depts/treasurer/default.htm,unverified,,official_address,high,"Licking County admin building, 20 S Second St, Newark"
Fairfield County Auditor,county_auditor,Fairfield County,108 N High St,Lancaster,OH,43130,39.714400,-82.599100,,https://www.co.fairfield.oh.us/auditor/,,,unknown,Property records GIS mapping valuation tax district context,https://www.co.fairfield.oh.us/auditor/,unverified,,official_address,high,"Fairfield County, 108 N High St, Lancaster"
Ohio Attorney General Sunshine Laws,state_public_records_office,Ohio,30 E Broad St,Columbus,OH,43215,39.962700,-82.999600,,https://www.ohioattorneygeneral.gov/Legal/Sunshine-Laws,https://www.ohioattorneygeneral.gov/Legal/Sunshine-Laws,,unknown,Public records and open meetings education,https://www.ohioattorneygeneral.gov/Legal/Sunshine-Laws,unverified,Educational resource for residents,official_address,medium,"Ohio AG offices, 30 E Broad St, Columbus (Rhodes Tower area); Sunshine Laws is a program/resource not a walk-in counter"
Ohio Auditor of State Open Government Unit,state_public_records_office,Ohio,65 E State St,Columbus,OH,43215,39.965300,-82.999000,,https://ohioauditor.gov/open.html,https://ohioauditor.gov/open.html,,unknown,Open government training and public records resources,https://ohioauditor.gov/open.html,unverified,,official_address,medium,"Ohio Auditor of State, 88 E Broad St area / 65 E State St, Columbus; Open Government Unit is a program"
Ohio EPA Division of Drinking and Ground Waters,public_health,Ohio,50 W Town St,Columbus,OH,43215,39.958900,-83.000700,,https://epa.ohio.gov/divisions-and-offices/drinking-and-ground-waters/drinking-and-ground-waters,,,unknown,Drinking water compliance and public water system records,https://epa.ohio.gov/divisions-and-offices/drinking-and-ground-waters/drinking-and-ground-waters,unverified,Add Ohio EPA public water records links,official_address,medium,"Ohio EPA, 50 W Town St, Columbus; division is within building - verify suite/public access"
Public Utilities Commission of Ohio,state_public_records_office,Ohio,180 E Broad St,Columbus,OH,43215,39.964700,-82.994300,800-686-7826,https://puco.ohio.gov/wps/portal/gov/puco/home,,,phone,Utility consumer information complaint routing and documents,https://puco.ohio.gov/wps/portal/gov/puco/home,unverified,Confirm jurisdiction before presenting as regulator,official_address,high,"PUCO, 180 E Broad St, Columbus"
