portal_id,name,portal_kind,url,jurisdiction_name,covers,login_required,account_notes,accepts_anonymous,fee_schedule_url,typical_fees,submission_notes,statute_ref,source_url,verified_status,status,notes
reynoldsburg-records,City of Reynoldsburg — Public Records Request,email,https://reynoldsburg.gov/453/Public-Records-Request,Reynoldsburg,"Reynoldsburg records intake — water/wastewater billing, council, service department.",false,,true,,"copy costs at actual cost","Email publicrecords@reynoldsburg.gov. Carried over from your v0.5 seed set.",R.C. 149.43,https://reynoldsburg.gov/453/Public-Records-Request,unverified,unknown,"VERIFY — carried from seed_agencies.csv; confirm the URL and that publicrecords@reynoldsburg.gov still routes."
oh-epa-edocument,Ohio EPA — eDocument Search,records_search,https://edocpub.epa.ohio.gov/publicportal/home.aspx,Ohio,"Ohio EPA permits, findings and orders, and correspondence. Where consent orders and Director's Final Findings & Orders are filed.",false,,true,,free,"Search by facility or document type. Director's Final Findings & Orders are the primary documents behind the consent-order language in the sewer ordinances.",,https://epa.ohio.gov/,unverified,unknown,"VERIFY URL. If the portal search fails, file a records request with Ohio EPA's records office instead."
owda,Ohio Water Development Authority,records_search,https://www.owda.org/,Ohio,"OWDA loan applications, board minutes, and the state loan portfolio for water/sewer projects.",false,,true,,free,"Board minutes are posted; the full loan portfolio usually requires a records request.",R.C. 149.43,https://www.owda.org/,unverified,unknown,"VERIFY URL before first use."
oh-campaign-finance,Ohio Secretary of State — Campaign Finance,campaign_finance,https://www.ohiosos.gov/campaign-finance/,Ohio,"Contribution and expenditure filings for state candidates, PACs, and committees. Follow the money into the decision.",false,,true,,free,"County boards of elections hold local candidate filings that never reach the state system — request those separately.",,https://www.ohiosos.gov/campaign-finance/,unverified,unknown,"VERIFY URL. Local races are usually at the county board of elections, not here."
oh-ethics-disclosure,Ohio Ethics Commission — Financial Disclosure,records_search,https://ethics.ohio.gov/,Ohio,"Annual financial disclosure statements for Ohio public officials. Shows outside income, creditors, and conflicts.",false,,false,,"copy fee may apply","Statements are generally obtainable on request; the requester's identity may be disclosed to the filer in some circumstances — confirm before filing.",,https://ethics.ohio.gov/,unverified,unknown,"IMPORTANT: verify the notification rule before requesting. This is one of the few Ohio contexts where anonymity may not hold."
pacer,PACER — Federal Court Records,docket_search,https://pacer.uscourts.gov/,United States,"All federal district, bankruptcy, and appellate dockets and filings.",true,"Free registration required. Provide billing details at signup; fees are waived below the quarterly threshold.",false,https://pacer.uscourts.gov/pacer-pricing-how-fees-work,"$0.10 per page, $3.00 cap per document; fees waived if quarterly usage stays under the threshold","Use the free CourtListener/RECAP mirror first to avoid paying for documents someone already pulled.",,https://pacer.uscourts.gov/,unverified,unknown,"VERIFY current fee schedule and threshold — these change."
courtlistener-recap,CourtListener / RECAP Archive,docket_search,https://www.courtlistener.com/recap/,United States,"Free mirror of federal court documents already pulled from PACER, plus state appellate opinions.",false,,true,,free,"Always check here before spending PACER money.",,https://www.courtlistener.com/,unverified,unknown,"VERIFY URL before first use."
usaspending,USAspending.gov,open_data,https://www.usaspending.gov/,United States,"Federal contracts, grants, and loans by recipient. Good for tracing federal money into local projects.",false,,true,,free,"Search by recipient name and by place of performance.",,https://www.usaspending.gov/,unverified,unknown,"VERIFY URL before first use."
sam-gov,SAM.gov — Entity & Exclusions Search,business_registry,https://sam.gov/,United States,"Federal contractor registration and the exclusions (debarment) list. Check every contractor here.",false,,true,,free,"The exclusions list is the fast red-flag check in any vendor due-diligence pass.",,https://sam.gov/,unverified,unknown,"VERIFY URL before first use."
cml-records,Columbus Metropolitan Library — Public Records Request,email,https://www.columbuslibrary.org/,Columbus,"Columbus Metropolitan Library system records: board minutes, budgets, policies, contracts, branch records.",false,,true,,"copy costs at actual cost","CML is its own public office with its own records custodian. Do NOT route library requests through the City of Columbus — the city is not the custodian and the request will die there.",R.C. 149.43,https://www.columbuslibrary.org/,unverified,unknown,"VERIFY the records-request contact and custodian title before filing. Added 2026-08-11 after a bad auto-link routed a CML branch to the City of Columbus."
fec-data,FEC — Campaign Finance Data,campaign_finance,https://www.fec.gov/data/,United States,"Federal candidate, committee and PAC filings: who gave, to whom, how much. Free API at api.open.fec.gov with a key from api.data.gov.",false,,true,,free,"The API is the fast path — see modules/connectors (fec). Individual contributions are schedule_a; independent expenditures are schedule_e.",52 U.S.C. 30101,https://www.fec.gov/data/,unverified,unknown,"VERIFY URL. Federal only — Ohio state and local candidates are NOT here."
senate-lda,U.S. Senate — Lobbying Disclosure,campaign_finance,https://lda.senate.gov/system/public/,United States,"Quarterly federal lobbying filings: which firm is paid by which client, how much, and on which bills. Free API, optional key.",false,,true,,free,"Registrant is the lobbying firm; client is who pays. The issue codes tell you the subject matter. Cross-reference against FEC for the same client.",2 U.S.C. 1601,https://lda.senate.gov/,unverified,unknown,"VERIFY URL. Covers FEDERAL lobbying only. Ohio has a separate JLEC registry."
oh-jlec,Ohio Joint Legislative Ethics Committee — Lobbying,campaign_finance,https://www2.jlec-olig.state.oh.us/,Ohio,"Ohio legislative and executive agency lobbyist registrations and expenditure reports. The state-level counterpart to the Senate LDA.",false,,true,,free,"This is where Ohio Statehouse lobbying lives. No public API — search the web portal and file a records request for bulk data.",R.C. 101.70,https://www2.jlec-olig.state.oh.us/,unverified,unknown,"VERIFY URL. CRITICAL for Ohio state politics — federal LDA does NOT cover the Statehouse."
county-boe-generic,County Board of Elections — Local Campaign Finance,records_search,,Ohio,"LOCAL candidate and issue-committee campaign finance filings: county commissioners, city council, school board, township trustees, levy committees.",false,,true,,"copy fees may apply","THE gap in every API. Local candidate filings never reach the Ohio SOS system and are not in FEC. You must go to the county BOE directly — in person or by records request. One BOE per county.",R.C. 3517.10,https://www.ohiosos.gov/elections/elections-officials/county-boards-of-elections/,unverified,unknown,"VERIFY each county BOE URL separately. This row is a REMINDER of the method, not a single portal."
oh-checkbook,Ohio Checkbook — State Expenditures,open_data,https://checkbook.ohio.gov/,Ohio,"State of Ohio spending by vendor, agency and category. Local governments participate voluntarily, so coverage below the state level is uneven.",false,,true,,free,"Good for tracing a vendor across state agencies. Absence here does NOT mean absence of payment — check the entity's own records too.",,https://checkbook.ohio.gov/,unverified,unknown,"VERIFY URL and confirm which of your seven counties participate."
